Title,Summary
"IT Operations KPI Time Serie Forecasting Method Based on Time-Frequency Hybrid Attention Mechanism","… to the emergence of AIOps (Artificial Intelligence for IT Operations). AIOps combines artificial … In the AIOps framework, trend forecasting based on KPI time series data is one of the core …"
"On Learning with Confidentiality through Encrypted AI Pipelines","… CONCLUSION AND FUTURE WORK The purpose of this paper is to introduce a holistic framework for conducting both AIOps and DataOps on sensitive data while ensuring privacy …"
"Reimagining Technical Education: Enhancing X-Ops Learning with Speculative and Experiential Pedagogies","This study examines the integration of futuristic thinking methodologies into X-Ops education, encompassing topics such as DevOps, AIOps, DataOps, and DevSecOps. Traditional …"
"AI-Driven DevOps for Intelligent Automation in Continuous Software Delivery Pipelines","… Intelligent automation and self-healing capabilities are made possible by the combination of AIOps, generative AI, and predictive analytics. The conceptual framework, proposed …"
"[PDF] Advancements in Service Automation and Platform Engineering: A Paradigm Shift in Enterprise Cloud Architecting","… Emerging trends, including edge computing integration, FinOps practices, serverless computing, and AIOps will continue to transform enterprise cloud architecture in the coming years. …"
"Machine Learning-Driven DevOps: A Unified Framework for Autonomous Software Operations","… , particularly in the form of machine learning driven automation, has consequently become a central force in the evolution of DevOps into what is now widely referred to as AIOps and …"
"LLM-Based Anomaly Detection and Semantic Classification for IT Operations (ITOps) Logs","… The primary goal of this paper is to build an efficient and accurate AIOps system. This system … By focusing on this goal, the paper aims to contribute to the advancement of AIOps and its …"
"AI-driven DevOps automation for cloud-native application modernization","… We enrich our discussion with current research advances from 2023–2025, such as AIOps platforms and large language model (LLM) applications in operations. Section 6 discusses …"
"An Investigation of the Current State and Prospective Possibilities for Machine Learning in Reliability Engineering and Safety Applications","With an emphasis on improving Site Reliability Engineering (SRE) practices, this paper explores the present status, efficacy, and future possibilities of Machine Learning (ML) in …"
"CLOUD-NATIVE ENGINEERING AND AI-POWERED AUTOMATION FOR SCALABLE PLATFORMS","… An example of this is AIOps, especially IBM Watson's AIOps, which automates incident management and improves response times for operations. The AIOps platform enables IT teams …"
"Demonstration of Dynamic Logging Framework for Cloud Native Environments","… captures logs from unhealthy microservices and their neighbors, reducing data collection by 95% while maintaining log quality for downstream downstream AI for IT operations (AIOps) …"
"[PDF] REINFORCEMENT LEARNING STRATEGIES FOR AGENTIC AI IN PREDICTIVE AI AUTONOMOUS IT OPERATIONS","… The use of Agentic Artificial Intelligence (AI) as Predictive AIOps will transform how … downtime by integrating anomaly detection and predictive analytics into AIOps [6] Sivakumar, [7] Yang…"
"[CITATION] AI-Augmented DevOps: Autonomous Software Delivery with Large Language Models",""
"Unlocking Insights From Multimodal Data for IT Automation","… network analysis, trustworthy AI, and AIOps. Seema serves on the review … in AIOps, NLP and Generative AI. His recently completed work focused on building a next-generation AIOps …"
"[PDF] AI ML and Cloud Computing: Exploring Models, Challenges and Opportunities","… and network data, AIOps enable detection of faults and issues in services [20]. AIOps facilitates the … By combining AI capabilities with DevOps practices, AIOps enhances operations and …"
"Bridging Smart Device Integration and Financial Operations: An Adaptive IoT Framework for AI-Driven Batch Monitoring","… AI, particularly machine learning (ML), is increasingly applied to anomaly detection in IT operations (AIOps). Time-series forecasting models like ARIMA, Prophet, and LSTM networks …"
"[PDF] An Intelligent Batch Monitoring Tool for Real-Time Detection, Diagnosis, and Recovery in Enterprise Processing Systems","… This paper presented the Intelligent Batch Monitoring Tool (IBMT), a novel AIOps framework … These results underscore the transformative potential of closed-loop AIOps in enhancing …"
"Responsible workload sequence anomaly detection with bi-view feature fusion","… for Artificial Intelligence for IT Operations (AIOps), credible and accurate detection results … between different departments in the enterprise’s AIOps. As a result, important parameters are …"
"AI Powered Cloud Native Platforms for Intelligent DevOps and Real Time Enterprise Data Systems","… The emergence of AIOps has gained academic and industry attention. Researchers argue that traditional rule-based monitoring systems are insufficient for complex distributed …"
"AI-Driven Automation and Reliability Engineering: Optimizing Cloud Infrastructure for Zero Downtime and Scalable Performance","… A major cloud provider's AIOps platform demonstrates the potential of AI-driven incident management at hyperscale. The system processes vast amounts of telemetry signals across …"
"AI-Driven DevOps Insights: Enhancing Operational Efficiency in Banking with GitLab and ServiceNow AIOps","Operating efficiency & resilience are very vital in the fast digital banking scene of the present day. This work investigates how AI-driven DevOps techniques—especially GitLab CI/CD & …"
"AI-Driven Cloud Transformation","… or an AIOps engine either a cloud service (such as Google Cloud’s AI Platform, Azure Machine Learning, or AWS SageMaker for custom machine learning) or some integrated AIOps …"
"Integrating AI-Driven Automation into Modern DevOps: Advancements, Challenges, and Strategic Implications in Software Engineering","… The theoretical foundations of AIOps are rooted in the integration of ML algorithms capable of interpreting extensive system logs, telemetry data, and operational metrics to automate …"
"Intelligent CloudOps: A Unified Monitoring and Management System for Cloud-Native Infrastructures","With the widespread application of cloud computing technologies, enterprises face increasing demands for managing cloud-network resources. Traditional monitoring methods struggle …"
"[PDF] AI MANAGEMENT","… In contrast to MLOps, which focuses only on the operationalization of ML models, and AIOps, which is AI for IT Operations, ModelOps focuses on the operationalization of all AI and …"
"Next-generation observability platforms: redefining debugging and monitoring at scale","… (AIOps) is becoming a fundamental driver of intelligent incident response. Aggregating observability data and using AI-based association methods, AIOps … for utilization in AIOps-driven, …"
"AI-Driven DevOps in Modern Software Engineering—A Review of Machine LearningBased Intelligent Automation for Deployment and Maintenance","… The combination of AI and DevOps sometimes called AIOps is a paradigm shift in going reactive to proactive system management [5][6]. Considering the current fastpaced ML algorithm …"
"[PDF] AI-AUGMENTED GitOps FOR on-prem RED HAT KUBERNETES: A FRAMEWORK FOR PREDICTIVE DEPLOYMENT RISK ANALYSIS AND ROLLBACK …","… Simultaneously, AI- and ML-based AIOps methods have … In addition, the existing literature analyses AIOps methods or … in relation to the most relevant studies on GitOps and AIOps. …"
"AIOps RCA","… OpenSearch is used for anomaly detection and AIOps because it has built-in anomaly detection, provides the algorithms and Vector database needed for AIOps, and is easy to integrate …"
"[PDF] TRENDS IN AUTOMATION SOFTWARE OVER THE LAST DECADE WITH CHALLENGES AND FUTURE PERSPECTIVES","… We break down the evolution of frameworks that now integrate AIOps, cognitive automation, and edge-cloud orchestration, all supported by mathematical models designed to boost …"
"Message from Cloud Intelligence/AIOps Workshop 2025 Chairs","The 6th International Workshop on Cloud Intelligence / AIOps is a forum for researchers, scientists, engineers, and practitioners to share and learn AI/ML powered DevOps solutions for …"
"[PDF] Automation and Observability in Large-Scale Cloud and Network Infrastructures","… Artificial Intelligence for IT Operations (AIOps) further enhances the … AIOps platforms analyze historical and real-time … Beyond detection, AIOps systems can recommend remediation …"
"AI-Powered Automation in Software Development and Deployment through AutoDevOps","The integration of Artificial Intelligence (AI) into software development and deployment processes is revolutionizing the way applications are built, tested, and delivered. This research …"
"AIOps: the Autonomous Network Journey","AIOps: the Autonomous Network Journey … AIOps: the Autonomous Network Journey … Sharma, """"AIOps: the Autonomous Network Journey,"""" in Optical Fiber Communication …"
"[PDF] Operationalizing AI in game development: MLOps infrastructure patterns and frontline insights","… AIOps layers couple gameplay KPIs with model health, enabling automated root-cause analysis and self-healing. The framework also details model-integrity attestation, cheat-detection …"
"{AIOps}: Prove It! An Open Letter to Vendors Selling {AI} for {SREs}","SREs are not known for being eager, optimistic early adopters of shiny new technologies. We are much more likely to subject you to lengthy monologuing about all of the ways said …"
"[PDF] Optimization and Automation of Distributed Enterprise Computing Systems","… Additionally, the integration of Artificial Intelligence for IT Operations (AIOps) is examined as a transformative approach for predictive analytics, anomaly detection, automated incident …"
"[PDF] AI-Driven Hybrid Strategies for Cloud Migration and Modernization of Java Applications","… AIOps solutions combine machine learning with observability data to predict and remediate … trust and auditability, domain-specific AIOps for Java runtime telemetry, linking bytecode-…"
"Generative AI–Driven Observability for Automated Root Cause Analysis in Modern IT Systems: Architecture and Vision","… (AIOps) has emerged in response to the increasing complexity of distributed IT ecosystems and the recognized limitations of traditional monitoring strategies. Gartner’s AIOps framework …"
"Future-Proofing Cloud Infrastructure: AI/ML-Driven Automation for Predictive Cloud Operations","… The current maturity of Fully Automated AIOps in CAIRO's AIOps Framework utilizes a multilevel, complex AIOps platform that requires little to no human interaction within standard …"
"From Speed to Sustainability: AI-Driven Performance Optimization and Its Energy Impact in Enterprise Applications","… This research aligns with the principles of Green AIOps, offering a sustainable approach to … This case study reinforces the role of Green AIOps—integrating AI into IT operations with …"
"[HTML] Применение инструментов искусственного интеллекта для оптимизации управления инцидентами и увеличения надежности IT-продукта","… графовых нейронных сетей для анализа транзакционных данных, методы машинного обучения для автоматической категоризации инцидентов и технологии AIOps для …"
"[BOOK] Artificial Intelligence for DevOps and Site Reliability Engineering: Theories, Applications, and Future Directions","This book offers an in-depth examination of the transformative impact Artificial Intelligence (AI) and Machine Learning (ML) have on DevOps and Site Reliability Engineering (SRE). It …"
"AI-Driven Model-Retraining Architecture to Sustain Operational Accuracy in Data-Drifting Environments","… While contemporary MLOps and Artificial Intelligence for IT Operations (AIOps) pipelines provide continuous integration and deployment mechanisms, most rely on scheduled retraining …"
"Agentic AI for IT and Beyond: A Qualitative Analysis of Capabilities, Challenges, and Governance","… Second, it explores the practical applications and benefits of Agentic AI in IT ecosystems, particularly within AIOps platforms that rely on autonomy and adaptability. Third, it critically …"
"AI Agents for Cloud Operations: Copilot Integration with Azure Monitor and Defender","… Artificial Intelligence for IT Operations (AIOps) has become a central research area for cloud … adopting AIOps platforms have reduced incident resolution times by 40–60%. Early AIOps …"
"Automated bug discovery in cloud infrastructure-as-code updates with llm agents","Cloud environments are increasingly managed by Infrastructure-as-Code (IaC) platforms (eg, Terraform), which allow developers to define their desired infrastructure as a configuration …"
"Orchestrating cross-layer anomaly detection and mitigation to address gray failures in large-scale cloud infrastructure","Cloud infrastructure in production constantly experiences gray failures: a degraded state in which failures go undetected by system mechanisms, yet adversely affect end-users. …"
"[CITATION] Agentic AIOps systems: architectures, capabilities and industrial applications",""
"[HTML] 智能运维 (AIOps) 中时间异构数据深度异常检测方法综述","第五代(5G)移动通信及物联网(IoT)技术的进步推动智能应用的发展,但也使得这些网络日益复杂 化,并容易遭受各类定向攻击.为监测和识别网络异常事件,研究人员提出多种异常检测(AD)模型,…"
"Towards using llms for distributed trace comparison","… 2025 IEEE/ACM International Workshop on Cloud Intelligence & AIOps (AIOps) … 2025 IEEE/ACM International Workshop on Cloud Intelligence & AIOps (AIOps) | 979-8-3315-2638-2/25/$31.00 …"
"AI-Driven Network Management and optimization","… The key to AIOps is Closed-Loop Automation, a continuous cycle that operates with minimal human intervention. This cycle ensures that the network can observe its state, analyze data, …"
"Agentic AI with Chatops for Large Scale Network Operations","Operating large-scale networks necessitates interaction with numerous tools and dashboards for troubleshooting and analysis. Given the sensitivity of network services, minimizing …"
"Cloud infrastructure management in the age of ai agents","… AIOps. LLMs have been applied to log analysis and incident diagnosis for cloud operations [14, 15, 31]. Unlike these specialized tools, which primarily focus on data analytics, our …"
"[CITATION] AIOps 2025","… 2025 IEEE/ACM International Workshop on Cloud Intelligence & AIOps (AIOps) AIOps 2025 … 2025 IEEE/ACM International Workshop on Cloud Intelligence & AIOps (AIOps) …"
"[CITATION] A Practical Approach to Defining a Framework for Developing an Agentic AIOps System. Electronics, 14 (9), 1775",""
"[BOOK] Infrastructure & Ops superstream: AI-driven operations and observability","… AI-driven operations and observability (AIOps) to show how … You'll learn how AIOps empowers system reliability, platform, … of the evolving landscape of AIOps, including the challenges …"
"Towards Converged MLOps and SRE: Adaptive AI-Driven Reliability Strategies in Cloud Environments","… Artificial intelligence operations (AIOps) tools, such as AIOps in Google Cloud and IBM Watson AIOps, apply machine learning to forecast possible outages and preventive measures. …"
"Analyze RCA Data","… If you’re not just monitoring, but you’re using observability to build AIOps or automate and modernize your operations using a CMDB, the existing observability backend alone is not …"
"A Recovery Module for an Incident Management Assistant with Missing and Imbalanced Data","… Intelligence for IT Operations (AIOps) typically rely on abundant, … blueprint for developing effective AIOps decision support tools … This work is primarily focused on the application of AIOps …"
"AIOps 를 활용한 지능형 인프라 모니터링 방안","… AIOps 를 활용한 지능형 인프라 모니터링 방안 … 과거 AIOps 실패 사례로부터 얻은 교훈과 AIOps 재정의 AI 시대 인프라 모니터링을 위한 AIOps 구성 예시 …"
"Breaking the Cycle of Recurring Failures: Generative AI and Root Cause Analysis in Legacy Banking Systems","The banking legacy systems and fragmented ownership often lead to superficial incident resolutions without addressing root causes, resulting in recurring failures. To solve this, we use …"
"[CITATION] Optimizing AIOps Tool Augmented LLM Agents for Reliable and Cost effective RCA","Optimizing AIOps Tool Augmented LLM Agents for Reliable and Cost effective RCA … Optimizing AIOps Tool Augmented LLM Agents for Reliable and Cost effective RCA …"
"A comprehensive investigation of privacy and network security pertaining to industry 4.0 investments in healthcare","Health 4.0 is an innovative approach that holds the potential to revolutionize how we address healthcare, offering a visionary blueprint for the industry’s future. To provide a thorough …"
"[PDF] MACHINE LEARNING-BASED ANOMALY DETECTION FOR REAL-TIME MONITORING OF ENTERPRISE IT INFRASTRUCTURE","… In conclusion, machine learning-driven anomaly detection is essential for modern AIOps strategies and intelligent IT operations. By providing timely, accurate, and actionable insights, …"
"[PDF] Automation and AI-Driven ITSM in Smart Factories","… of the AIOps, RPA, and autonomous service management to reform the ITSM in intelligent factories. Active monitoring and predictive maintenance can be offered by AIOps, which …"
"[CITATION] AIOPS: TRANSFORMING CLOUD AND EDGE INFRASTRUCTURE MANAGEMENT","AIOPS: TRANSFORMING CLOUD AND EDGE INFRASTRUCTURE MANAGEMENT … AIOPS: TRANSFORMING CLOUD AND EDGE INFRA…"
